1,1,0,0,0.5,0.4,0.5,32.57,77.6,28.83,4.8,36,88.8,32.8,5.3,0
0,0,0,0,0.6,0.4,0.67,33.66,76.9,33.5,4.95,37.1,89.2,30.5,5.2,0
1,0,0,0,0.7,0.5,0.83,35.75,76.7,33.6,4.96,36.9,89.5,29.9,5.23,0
0,1,1,1,0.8,0.88,0.67,32.625,76.5,32.76,4.93,33.1,102.3,35.5,5.5,0
0,1,1,1,0.7,0.67,0.5,32.14,77.1,31.5,4.91,32.9,99.7,36.1,5.71,1
1,1,1,1,0.8,0.5,1,31.66,78.6,26.98,4.7,30.6,77.6,42.5,5.5,1
0,1,1,1,0.8,0.5,1,32,78.7,26.4,4.73,29.9,78.9,43.2,5.22,1
0,1,1,1,0.7,0.4,0.83,33.5,78.95,25.9,4.67,30.8,75.7,41.3,5.35,1
0,0,1,1,0.6,0.7,0.17,33.75,85.5,25.3,4.64,39.6,90.5,27.7,4.83,1
0,0,1,1,0.6,0.7,0,32.96,84.4,25.6,4.61,39.9,90.62,28.8,4.92,1
1,1,1,1,0.7,0.6,0,32.5,83.6,26.1,4.7,39.3,91.2,29.52,4.91,0
1,1,1,1,0.8,0.67,0.5,33.85,82,27.2,4.89,24,71.2,28.2,4.6,1
0,1,1,1,0.8,0.56,0.67,33.2,81.25,26.8,4.81,25.1,70.5,27.1,4.71,0
1,1,1,1,0.8,0.67,0.5,33.71,79.8,26.9,4.78,26.1,72.2,28.9,4.45,1
0,0,1,1,0.7,0.78,0.5,31.5,78.66,27.22,4.76,32.6,97.11,36.68,5.52,0
1,1,0,1,0.55,0.5,0,32.3,79.1,25.6,4.51,24.8,71.1,26.5,4.73,1
0,0,0,1,0.67,0.56,0.25,32.61,84.3,30.2,4.63,36.3,77.5,32.5,4.9,0
1,0,0,0,0.7,0.22,1,33.1,83.3,27.5,4.85,29.7,73.6,24.1,5.3,1
0,1,0,1,0.8,0.3,0.33,30.2,81.8,28.8,4.65,32.85,85.3,32.2,5.3,1
0,1,0,1,0.8,0.9,1,29.9,81.6,26.65,4.81,37.7,94.2,26.8,4.9,0
0,0,0,1,0.8,0.78,0.25,29.8,80.5,31.77,5.01,44.2,87.5,32,5.05,0
1,0,1,1,0.67,0.56,0.67,30.66,72.9,29.57,4.71,33.6,75.5,29.87,4.9,0
0,1,1,1,0.55,0.67,0.67,30.51,71.7,28.56,4.81,34.1,76.7,30.51,4.78,0
0,1,1,1,0.55,0.67,0.67,30.31,70.2,27.3,4.85,34.6,76.8,29.3,4.75,0
0,1,1,1,0.5,0.22,0.2,30.16,71.5,28.9,4.75,37.3,80.1,31.5,5.2,0
1,0,1,1,0.4,0.6,0.3,30.05,70.7,29.1,4.82,31.5,78.2,27.85,4.2,0
1,1,1,1,0.3,0.7,0,29.9,69.9,29.8,4.93,37.5,76.5,30.1,4.45,0
1,1,1,1,0.3,0.8,0.25,29.7,69.7,30.1,4.85,33.8,78.2,29.9,4.82,0
1,1,1,1,0.3,0.25,0.25,29.6,74.4,31.2,4.77,32.75,81.25,41.2,5.3,0
1,0,1,1,0.2,0.38,0.25,30.1,73.6,32.2,4.81,33.1,82.2,36.5,4.95,0
